question,option1,option2,option3,option4,correctIndex,explanation
Who wrote 'The Republic'?,Aristotle,Plato,Socrates,Kant,1,"Plato wrote 'The Republic', which is a Socratic dialogue concerning justice, the order and character of the just city-state, and the just man."
Which philosophical concept is associated with Jean-Paul Sartre?,Categorical Imperative,Existentialism,Utilitarianism,Empiricism,1,"Jean-Paul Sartre is a key figure in Existentialism, which emphasizes individual existence, freedom, and choice."
"The statement 'I think, therefore I am' (Cogito, ergo sum) was made by:",René Descartes,David Hume,John Locke,Friedrich Nietzsche,0,"René Descartes made this statement in his 'Discourse on the Method' (1637). It forms the foundation of Cartesian doubt, establishing the certainty of one's own existence."
What is the 'Categorical Imperative'?,A concept from utilitarianism,A principle in Kant's ethics,A Nietzschean theory,A form of relativism,1,"The Categorical Imperative is the central philosophical concept in Immanuel Kant's deontological moral philosophy, which acts as an unconditional moral obligation."
The 'Allegory of the Cave' appears in which philosophical work?,Aristotle's Nicomachean Ethics,Plato's Republic,Kant's Critique of Pure Reason,Hume's Treatise of Human Nature,1,The 'Allegory of the Cave' appears in Plato's Republic (Book VII) and illustrates the effect of education on the human soul.
What is the main principle of utilitarianism?,Following God's commands,Acting according to universal law,Maximizing pleasure and minimizing pain,Living according to nature,2,"Utilitarianism, associated with Jeremy Bentham and John Stuart Mill, proposes that the best action is the one that maximizes utility, defined as that which produces the greatest well-being for the greatest number of people."
Who is known for the concept of 'the will to power'?,Friedrich Nietzsche,John Stuart Mill,Karl Marx,Immanuel Kant,0,Friedrich Nietzsche developed the concept of 'the will to power' as a psychological explanation of human behavior as driven by the desire to dominate and control.
The philosophical position that denies the existence of God is called:,Agnosticism,Atheism,Pantheism,Deism,1,Atheism is the philosophical position that rejects belief in the existence of deities. Agnosticism is the view that the existence of God is unknown or unknowable.
Which philosopher is associated with the concept of the 'social contract'?,Karl Marx,Michel Foucault,Jean-Jacques Rousseau,Georg Hegel,2,"Jean-Jacques Rousseau is famous for his articulation of the social contract theory, though Thomas Hobbes and John Locke also made significant contributions to this concept."
What is epistemology?,The study of beauty,The study of knowledge,The study of being,The study of ethics,1,"Epistemology is the branch of philosophy concerned with the theory of knowledge, especially its methods, validity, and scope, and the distinction between justified belief and opinion."
